Data,Descrição,Valor
01/11/2023,Venda Cliente ABC,15000
02/11/2023,Venda Cliente XYZ,8500
03/11/2023,Aluguel Loja,-3500
04/11/2023,Salário Funcionário 1,-4000
05/11/2023,Salário Funcionário 2,-3500
06/11/2023,Internet e Telefone,-350
07/11/2023,PIX para Sócio João,-5000
08/11/2023,Fornecedor Mercadorias,-6000
09/11/2023,DAS Simples Nacional,-1200
10/11/2023,Sistema de Gestão,-450
12/11/2023,Venda Cliente DEF,12000
13/11/2023,Parcela Empréstimo Banco,-2500
14/11/2023,Energia Elétrica,-890
15/11/2023,Contador,-800
16/11/2023,PIX para Sócia Maria,-3000
18/11/2023,Venda Cliente GHI,9500
19/11/2023,Fornecedor Embalagens,-1800
20/11/2023,Marketing Google Ads,-1500
21/11/2023,Água,-150
22/11/2023,Material de Limpeza,-280
24/11/2023,Venda Cliente JKL,7200
25/11/2023,ICMS,-950
26/11/2023,Manutenção Equipamentos,-650
27/11/2023,Combustível,-420
28/11/2023,Cartão Corporativo,-1200
29/11/2023,INSS Pró-labore,-380
30/11/2023,Transferência Sócio Pedro,-2500
